source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"boySecondCousinOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",boySecondCousinOf,boyFirstCousinOnceRemovedOf,,0,68,0.0,0,28,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> brotherOf(Y,X)",boySecondCousinOf,brotherOf,,0,68,0.0,0,19,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> daughterOf(Y,X)",boySecondCousinOf,daughterOf,,0,68,0.0,0,40,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> fatherOf(Y,X)",boySecondCousinOf,fatherOf,,0,68,0.0,0,6,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> girlCousinOf(Y,X)",boySecondCousinOf,girlCousinOf,,0,68,0.0,0,10,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",boySecondCousinOf,girlFirstCousinOnceRemovedOf,,0,68,0.0,0,40,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> granddaughterOf(Y,X)",boySecondCousinOf,granddaughterOf,,0,68,0.0,0,40,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> grandfatherOf(Y,X)",boySecondCousinOf,grandfatherOf,,0,68,0.0,0,1,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> grandmotherOf(Y,X)",boySecondCousinOf,grandmotherOf,,0,68,0.0,0,1,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> grandsonOf(Y,X)",boySecondCousinOf,grandsonOf,,0,68,0.0,0,28,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatAuntOf(Y,X)",boySecondCousinOf,greatAuntOf,,0,68,0.0,0,1,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatGranddaughterOf(Y,X)",boySecondCousinOf,greatGranddaughterOf,,0,68,0.0,0,40,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatGrandfatherOf(Y,X)",boySecondCousinOf,greatGrandfatherOf,,0,68,0.0,0,0,0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatGrandmotherOf(Y,X)",boySecondCousinOf,greatGrandmotherOf,,0,68,0.0,0,0,0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatGrandsonOf(Y,X)",boySecondCousinOf,greatGrandsonOf,,0,68,0.0,0,28,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> greatUncleOf(Y,X)",boySecondCousinOf,greatUncleOf,,0,68,0.0,0,3,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> motherOf(Y,X)",boySecondCousinOf,motherOf,,0,68,0.0,0,6,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> nephewOf(Y,X)",boySecondCousinOf,nephewOf,,0,68,0.0,0,21,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> nieceOf(Y,X)",boySecondCousinOf,nieceOf,,0,68,0.0,0,30,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> secondAuntOf(Y,X)",boySecondCousinOf,secondAuntOf,,0,68,0.0,0,2,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> secondUncleOf(Y,X)",boySecondCousinOf,secondUncleOf,,0,68,0.0,0,0,0
inductive_inverse,"boySecondCousinOf(X,Y) -> sisterOf(Y,X)",boySecondCousinOf,sisterOf,,0,68,0.0,0,26,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> sonOf(Y,X)",boySecondCousinOf,sonOf,,0,68,0.0,0,28,0.0
inductive_inverse,"boySecondCousinOf(X,Y) -> uncleOf(Y,X)",boySecondCousinOf,uncleOf,,0,68,0.0,0,7,0.0
inductive_inverse,"brotherOf(X,Y) -> auntOf(Y,X)",brotherOf,auntOf,,0,570,0.0,0,222,0.0
inductive_inverse,"brotherOf(X,Y) -> boyCousinOf(Y,X)",brotherOf,boyCousinOf,,0,570,0.0,0,116,0.0
inductive_inverse,"brotherOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",brotherOf,boyFirstCousinOnceRemovedOf,,0,570,0.0,0,48,0.0
inductive_inverse,"brotherOf(X,Y) -> boySecondCousinOf(Y,X)",brotherOf,boySecondCousinOf,,0,570,0.0,0,22,0.0
inductive_inverse,"brotherOf(X,Y) -> daughterOf(Y,X)",brotherOf,daughterOf,,0,570,0.0,0,308,0.0
inductive_inverse,"brotherOf(X,Y) -> fatherOf(Y,X)",brotherOf,fatherOf,,0,570,0.0,0,126,0.0
inductive_inverse,"brotherOf(X,Y) -> girlCousinOf(Y,X)",brotherOf,girlCousinOf,,0,570,0.0,0,126,0.0
inductive_inverse,"brotherOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",brotherOf,girlFirstCousinOnceRemovedOf,,0,570,0.0,0,23,0.0
inductive_inverse,"brotherOf(X,Y) -> girlSecondCousinOf(Y,X)",brotherOf,girlSecondCousinOf,,0,570,0.0,0,12,0.0
inductive_inverse,"brotherOf(X,Y) -> granddaughterOf(Y,X)",brotherOf,granddaughterOf,,0,570,0.0,0,247,0.0
inductive_inverse,"brotherOf(X,Y) -> grandfatherOf(Y,X)",brotherOf,grandfatherOf,,0,570,0.0,0,59,0.0
inductive_inverse,"brotherOf(X,Y) -> grandmotherOf(Y,X)",brotherOf,grandmotherOf,,0,570,0.0,0,49,0.0
inductive_inverse,"brotherOf(X,Y) -> grandsonOf(Y,X)",brotherOf,grandsonOf,,0,570,0.0,0,226,0.0
